Rede, Jogador, ID do Jogo, Stake, Data, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado, Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas
WPN,"HiThxBye",31735432,50.0,2024-06-09 21:37,1069,5.0,H,No Limit,Normal,-5.61,132,Multi-Entry,USD,1,37961,8,99.39,"Special BIG10 - $80,000 GTD",542
WPN,"HiThxBye",31735073,100.0,2024-06-09 21:11,1573,9.0,H,No Limit,Normal,-209.0,807,Multi-Entry,USD,1,40012,8,,"Sunday WarmUp - $250,000 GTD",987
WPN,"HiThxBye",31734856,30.0,2024-06-09 20:28,1604,3.0,H,No Limit,Normal,-63.0,1198,Multi-Entry,USD,1,41036,8,,"BIG10 - $75,000 GTD",902
WPN,"HiThxBye",31685617,60.0,2024-06-09 17:31,532,6.0,H,No Limit,Turbo,-60.0,310,Multi-Entry,USD,,25306,8,,"VFTS #6H Turbo - $50,000 GTD",273
WPN,"HiThxBye",31727723,50.0,2024-06-07 00:03,316,5.0,H,No Limit,Normal,-26.19,47,Multi-Entry,USD,1,29939,8,78.81,"The Loncar Daily Double B - $25,000 GTD",204
WPN,"HiThxBye",31727656,50.0,2024-06-06 23:15,300,5.0,H,No Limit,Normal,-105.0,134,Multi-Entry,USD,1,28805,8,,"The Loncar Daily Double A - $25,000 GTD",173
WPN,"HiThxBye",31727474,20.0,2024-06-06 22:13,221,2.0,H,No Limit,Normal,20.73,18,Multi-Entry,USD,,27832,8,40.73,"$5,000 GTD 1RE",62
WPN,"HiThxBye",31727227,40.0,2024-06-06 21:02,233,4.0,H,No Limit,Normal,-84.0,128,Multi-Entry,USD,1,27167,8,,"Mega Stack - $12,500 GTD",105
WPN,"HiThxBye",31726870,15.0,2024-06-06 17:43,259,1.5,H,No Limit,Normal,-48.0,110,Multi-Entry,USD,2,22381,8,,"$5,000 GTD",93
WPN,"HiThxBye",31726301,50.0,2024-06-06 17:12,463,5.0,H,No Limit,Normal,-50.0,120,Multi-Entry,USD,,34934,8,,"$30,000 GTD",270
WPN,"HiThxBye",31707391,80.0,2024-06-03 00:26,349,8.0,H,No Limit,Normal,-168.0,156,Multi-Entry,USD,1,31299,8,,"The Loncar Daily Double B - $40,000 GTD",208
WPN,"HiThxBye",31707254,80.0,2024-06-02 23:34,307,8.0,H,No Limit,Normal,-168.0,164,Multi-Entry,USD,1,29987,8,,"The Loncar Daily Double A - $40,000 GTD",202
WPN,"HiThxBye",31707046,40.0,2024-06-02 22:32,506,4.0,H,No Limit,Normal,-84.0,197,Multi-Entry,USD,1,28976,8,,"$30,000 GTD",272
WPN,"HiThxBye",31706279,50.0,2024-06-02 22:29,1348,5.0,H,No Limit,Normal,39.6,62,Multi-Entry,USD,2,41062,8,199.6,"Special BIG10 - $100,000 GTD",713
WPN,"HiThxBye",31706084,100.0,2024-06-02 22:13,1620,9.0,H,No Limit,Normal,-209.0,516,Multi-Entry,USD,1,43711,8,,"Sunday WarmUp - $250,000 GTD",1086
WPN,"HiThxBye",31706736,80.0,2024-06-02 20:46,427,8.0,H,No Limit,Normal,-80.0,337,Multi-Entry,USD,,27389,8,,"$50,000 GTD",230
WPN,"HiThxBye",31705926,30.0,2024-06-02 20:25,1541,3.0,H,No Limit,Normal,-63.0,710,Multi-Entry,USD,1,40836,8,,"BIG10 - $75,000 GTD",940
WPN,"HiThxBye",31705655,15.0,2024-06-02 17:28,1165,1.5,H,No Limit,Normal,-15.0,511,Multi-Entry,USD,,35924,8,,"BIG10 - $25,000 GTD",627
WPN,"HiThxBye",31699325,50.0,2024-05-30 23:40,290,5.0,H,No Limit,Normal,-160.0,114,Multi-Entry,USD,2,28519,8,,"The Loncar Daily Double B - $25,000 GTD",164
WPN,"HiThxBye",31699196,50.0,2024-05-30 22:54,280,5.0,H,No Limit,Normal,2743.72,3,Multi-Entry,USD,1,27586,8,2848.72,"The Loncar Daily Double A - $25,000 GTD",154
WPN,"HiThxBye",31699058,20.0,2024-05-30 22:28,214,2.0,H,No Limit,Normal,-42.0,82,Multi-Entry,USD,1,28701,8,,"$5,000 GTD 1RE",52
WPN,"HiThxBye",31697784,15.0,2024-05-30 17:12,217,1.5,H,No Limit,Normal,-31.5,74,Multi-Entry,USD,1,20533,8,,"$5,000 GTD",80
WPN,"HiThxBye",31689877,50.0,2024-05-28 23:33,313,5.0,H,No Limit,Normal,-12.35,53,Multi-Entry,USD,1,28108,8,92.65,"The Loncar Daily Double B - $25,000 GTD",145
WPN,"HiThxBye",31689713,50.0,2024-05-28 23:30,309,5.0,H,No Limit,Normal,-105.0,163,Multi-Entry,USD,1,29751,8,,"The Loncar Daily Double A - $25,000 GTD",168
WPN,"HiThxBye",31689508,20.0,2024-05-28 21:37,223,2.0,H,No Limit,Normal,-20.0,87,Multi-Entry,USD,,25656,8,,"$5,000 GTD 1RE",60
WPN,"HiThxBye",31689212,40.0,2024-05-28 21:15,208,4.0,H,No Limit,Normal,-16.9,31,Multi-Entry,USD,1,27905,8,67.1,"Mega Stack - $12,500 GTD",104
WPN,"HiThxBye",31688511,30.0,2024-05-28 19:12,524,3.0,H,No Limit,Normal,-63.0,125,Multi-Entry,USD,1,32875,8,,"BIG10 - $25,000 GTD",289
WPN,"HiThxBye",31688774,15.0,2024-05-28 17:18,223,1.5,H,No Limit,Normal,36.73,10,Multi-Entry,USD,1,20908,8,68.23,"$5,000 GTD",67
WPN,"HiThxBye",31599115,100.0,2024-05-27 22:33,818,9.0,H,No Limit,Normal,-100.0,570,Multi-Entry,USD,,43437,8,,"OSS #316L BIG10 - $100,000 GTD",613
WPN,"HiThxBye",31572820,100.0,2024-05-27 22:13,1258,9.0,H,No Limit,Normal,17.51,879,Bounty,USD,,40130,8,117.51,"OSS #2 Mystery Bounty - $1,500,000 GTD [Day2]",
WPN,"HiThxBye",31574282,60.0,2024-05-27 20:51,1059,6.0,H,No Limit,Normal,139.61,471,,USD,,35196,8,199.61,"OSS #3 - $500,000 GTD [Day2]",
WPN,"HiThxBye",31599020,30.0,2024-05-27 20:26,1232,3.0,H,No Limit,Normal,-63.0,986,Multi-Entry,USD,1,37315,8,,"OSS #315M BIG10 - $50,000 GTD",721
WPN,"HiThxBye",31599006,50.0,2024-05-27 18:08,1270,5.0,H,No Limit,Normal,-50.0,515,Multi-Entry,USD,,38294,8,,"OSS #312H BIG10 - $75,000 GTD",741
WPN,"HiThxBye",31675167,50.0,2024-05-26 22:40,1265,5.0,H,No Limit,Normal,138.2,52,Multi-Entry,USD,1,41754,8,243.2,"Special BIG10 - $100,000 GTD",553
WPN,"HiThxBye",31674834,100.0,2024-05-26 21:28,1861,9.0,H,No Limit,Normal,-43.98,323,Multi-Entry,USD,1,41015,8,165.02,"Sunday WarmUp - $300,000 GTD",1145
WPN,"HiThxBye",31599014,30.0,2024-05-26 19:40,2081,3.0,H,No Limit,Normal,89.9,116,Multi-Entry,USD,,41707,8,119.9,"OSS #294 - $100,000 GTD",1047
WPN,"HiThxBye",31667934,50.0,2024-05-23 23:18,274,5.0,H,No Limit,Normal,-105.0,152,Multi-Entry,USD,1,29016,8,,"The Loncar Daily Double A - $20,000 GTD",148
WPN,"HiThxBye",31667941,50.0,2024-05-23 23:15,287,5.0,H,No Limit,Normal,1252.5,5,Multi-Entry,USD,,27019,8,1302.5,"The Loncar Daily Double B - $20,000 GTD",142
WPN,"HiThxBye",31666409,20.0,2024-05-23 22:05,199,2.0,H,No Limit,Normal,-42.0,72,Multi-Entry,USD,1,27333,8,,"$5,000 GTD 1RE",63
WPN,"HiThxBye",31572826,100.0,2024-05-23 20:49,51,9.0,H,No Limit,Normal,-100.0,4,Satellite Bounty Multi-Entry,USD,1,13497,8,109.0,"OSS #2 Mystery Bounty - $1.5M GTD [Flight]",22
WPN,"HiThxBye",31581426,15.0,2024-05-23 18:04,116,1.5,H,No Limit,Normal,-15.0,19,Satellite Bounty Multi-Entry,USD,,10766,8,,"OSS #4 Mystery Bounty - $200K GTD [Flight]",42
WPN,"HiThxBye",31574295,60.0,2024-05-23 17:41,173,6.0,H,No Limit,Normal,126.0,14,Satellite Multi-Entry,USD,,23794,8,186.0,"OSS #3 - $500,000 GTD [Flight]",67
WPN,"HiThxBye",31596437,50.0,2024-05-23 17:41,913,5.0,H,No Limit,Normal,-50.0,481,Multi-Entry,USD,,36673,8,,"OSS #253M - $50,000 GTD",477
WPN,"HiThxBye",31665534,15.0,2024-05-23 17:19,278,1.5,H,No Limit,Normal,-31.5,115,Multi-Entry,USD,1,20948,8,,"$5,000 GTD",107
WPN,"HiThxBye",31595863,30.0,2024-05-21 23:28,518,3.0,H,No Limit,Normal,-63.0,178,Multi-Entry,USD,1,35922,8,,"OSS #228M - $25,000 GTD",295
WPN,"HiThxBye",31642558,15.0,2024-05-21 23:19,636,1.5,H,No Limit,Normal,-15.0,282,Multi-Entry,USD,,27274,8,,"OSS #230B The Boski Daily Double - $15,000 GTD",392
WPN,"HiThxBye",31642566,15.0,2024-05-21 22:46,606,1.5,H,No Limit,Normal,-15.0,130,Multi-Entry,USD,,27105,8,,"OSS #230A The Boski Daily Double - $15,000 GTD",398
WPN,"HiThxBye",31595974,30.0,2024-05-21 20:33,856,3.0,H,No Limit,Normal,-63.0,342,Multi-Entry,USD,1,37699,8,,"OSS #224M BIG10 - $40,000 GTD",447
WPN,"HiThxBye",31655651,15.0,2024-05-21 17:21,238,1.5,H,No Limit,Normal,-15.0,75,Multi-Entry,USD,,21061,8,,"$5,000 GTD",77
WPN,"HiThxBye",31653306,50.0,2024-05-20 23:41,288,5.0,H,No Limit,Normal,3422.73,2,Multi-Entry,USD,1,28564,8,3527.73,"The Loncar Daily Double B - $20,000 GTD",164
WPN,"HiThxBye",31653302,50.0,2024-05-20 22:47,251,5.0,H,No Limit,Normal,-105.0,114,Multi-Entry,USD,1,27144,8,,"The Loncar Daily Double A - $20,000 GTD",158
WPN,"HiThxBye",31651808,20.0,2024-05-20 21:23,206,2.0,H,No Limit,Normal,-20.0,73,Multi-Entry,USD,,24828,8,,"$5,000 GTD 1RE",63
WPN,"HiThxBye",31650814,30.0,2024-05-20 19:33,537,3.0,H,No Limit,Normal,-63.0,180,Multi-Entry,USD,1,34124,8,,"BIG10 - $25,000 GTD",308
WPN,"HiThxBye",31587519,50.0,2024-05-20 17:52,860,5.0,H,No Limit,Normal,35.14,147,Multi-Entry,USD,,37341,8,85.14,"OSS #206M BIG10 - $50,000 GTD",456
WPN,"HiThxBye",31651096,15.0,2024-05-20 17:04,247,1.5,H,No Limit,Normal,597.61,3,Multi-Entry,USD,,20073,8,612.61,"$5,000 GTD",69
WPN,"HiThxBye",31586809,100.0,2024-05-19 23:11,4162,9.0,H,No Limit,Normal,-318.0,735,Multi-Entry,USD,2,47163,8,,"OSS #193H - $400,000 GTD Sunday WarmUp",1741
WPN,"HiThxBye",31640843,50.0,2024-05-19 22:10,1339,5.0,H,No Limit,Normal,-105.0,487,Multi-Entry,USD,1,39951,8,,"Special BIG10 - $100,000 GTD",705
WPN,"HiThxBye",31646364,30.0,2024-05-19 20:50,1576,3.0,H,No Limit,Normal,-96.0,613,Multi-Entry,USD,2,42324,8,,"BIG10 - $75,000 GTD",869
WPN,"HiThxBye",31625380,15.0,2024-05-15 17:06,265,1.5,H,No Limit,Normal,-15.0,93,Multi-Entry,USD,,20161,8,,"$5,000 GTD",82
WPN,"HiThxBye",31559286,100.0,2024-05-14 21:38,509,9.0,H,No Limit,Normal,-100.0,465,Multi-Entry,USD,,40115,8,,"OSS #123L BIG10 - $75,000 GTD",319
WPN,"HiThxBye",31559750,30.0,2024-05-14 20:29,866,3.0,H,No Limit,Normal,-5.09,127,Multi-Entry,USD,1,37456,8,57.91,"OSS #122M BIG10 - $40,000 GTD",512
WPN,"HiThxBye",31620745,15.0,2024-05-14 17:46,262,1.5,H,No Limit,Normal,-15.0,136,Multi-Entry,USD,,22586,8,,"$5,000 GTD",93
WPN,"HiThxBye",31533102,100.0,2024-05-13 18:09,1221,9.0,H,No Limit,Normal,397.0,163,,USD,,27561,8,497.0,"OSS #89H - $500,000 GTD [Day2]",
WPN,"HiThxBye",31529960,40.0,2024-05-13 00:51,815,4.0,H,No Limit,Normal,-40.0,691,Multi-Entry,USD,,37261,8,,"OSS #97H - $50,000 GTD",472
WPN,"HiThxBye",31607320,50.0,2024-05-12 22:38,1336,5.0,H,No Limit,Normal,-105.0,509,Multi-Entry,USD,1,41591,8,,"Special BIG10 - $100,000 GTD",727
WPN,"HiThxBye",31526085,30.0,2024-05-12 20:00,2156,3.0,H,No Limit,Normal,-63.0,870,Multi-Entry,USD,1,42916,8,,"OSS #89M BIG10 - $100,000 GTD",1297
WPN,"HiThxBye",31533103,100.0,2024-05-12 15:21,1929,9.0,H,No Limit,Normal,-100.0,1211,Satellite Multi-Entry,USD,1,26178,8,109.0,"OSS #89H - $500,000 GTD [Day1]",1713
WPN,"HiThxBye",31523134,30.0,2024-05-09 21:29,509,3.0,H,No Limit,Normal,-30.0,413,Multi-Entry,USD,,30266,8,,"OSS #64L - $20,000 GTD Mega Stack",268
WPN,"HiThxBye",31522787,50.0,2024-05-09 18:14,988,5.0,H,No Limit,Normal,144.63,51,Multi-Entry,USD,,38686,8,194.63,"OSS #59L - $50,000 GTD",566
WPN,"HiThxBye",31592854,50.0,2024-05-09 00:10,289,5.0,H,No Limit,Normal,-50.0,86,Multi-Entry,USD,,30319,8,,"The Loncar Daily Double B - $25,000 GTD",150
WPN,"HiThxBye",31592717,50.0,2024-05-08 22:39,276,5.0,H,No Limit,Normal,-105.0,110,Multi-Entry,USD,1,26694,8,,"The Loncar Daily Double A - $25,000 GTD",163
WPN,"HiThxBye",31592499,20.0,2024-05-08 21:49,212,2.0,H,No Limit,Normal,-20.0,71,Multi-Entry,USD,,26394,8,,"$5,000 GTD 1RE",62
WPN,"HiThxBye",31592235,40.0,2024-05-08 20:04,213,4.0,H,No Limit,Normal,-84.0,57,Multi-Entry,USD,1,23677,8,,"Mega Stack - $12,500 GTD",82
WPN,"HiThxBye",31591475,30.0,2024-05-08 19:17,615,3.0,H,No Limit,Normal,-63.0,120,Multi-Entry,USD,1,33127,8,,"BIG10 - $25,000 GTD",251
WPN,"HiThxBye",31520916,50.0,2024-05-08 18:16,994,5.0,H,No Limit,Normal,-105.0,343,Multi-Entry,USD,1,38796,8,,"OSS #46 BIG10 - $60,000 GTD",595
WPN,"HiThxBye",31591788,15.0,2024-05-08 16:53,246,1.5,H,No Limit,Normal,-15.0,57,Multi-Entry,USD,,19402,8,,"$5,000 GTD",71
WPN,"HiThxBye",31519414,30.0,2024-05-07 23:15,595,3.0,H,No Limit,Normal,-30.0,579,Multi-Entry,USD,,35103,8,,"OSS #39L - $25,000 GTD",361
WPN,"HiThxBye",31516117,100.0,2024-05-07 21:15,634,9.0,H,No Limit,Normal,-209.0,394,Multi-Entry,USD,1,38757,8,,"OSS #37L BIG10 - $75,000 GTD",448
WPN,"HiThxBye",31562784,30.0,2024-05-07 20:37,999,3.0,H,No Limit,Normal,-63.0,689,Multi-Entry,USD,1,37958,8,,"OSS #36L BIG10 - $40,000 GTD",538
WPN,"HiThxBye",31583641,50.0,2024-05-07 00:02,302,5.0,H,No Limit,Normal,-160.0,147,Multi-Entry,USD,2,29822,8,,"The Loncar Daily Double B - $20,000 GTD",162
WPN,"HiThxBye",31583635,50.0,2024-05-07 00:01,293,5.0,H,No Limit,Normal,-105.0,119,Multi-Entry,USD,1,31560,8,,"The Loncar Daily Double A - $20,000 GTD",157
WPN,"HiThxBye",31515138,60.0,2024-05-06 23:37,525,6.0,H,No Limit,Normal,-126.0,450,Multi-Entry,USD,1,36434,8,,"OSS #30L - $40,000 GTD",297
WPN,"HiThxBye",31515053,100.0,2024-05-06 22:04,637,9.0,H,No Limit,Normal,-209.0,496,Multi-Entry,USD,1,41672,8,,"OSS #29L BIG10 - $75,000 GTD",413
WPN,"HiThxBye",31583078,20.0,2024-05-06 21:47,221,2.0,H,No Limit,Normal,-20.0,105,Multi-Entry,USD,,26231,8,,"$5,000 GTD 1RE",59
WPN,"HiThxBye",31581705,30.0,2024-05-06 19:50,648,3.0,H,No Limit,Normal,-63.0,151,Multi-Entry,USD,1,35157,8,,"BIG10 - $25,000 GTD",324
WPN,"HiThxBye",31514808,50.0,2024-05-06 18:54,1095,5.0,H,No Limit,Normal,11.93,117,Multi-Entry,USD,1,41077,8,116.93,"OSS #26M BIG10 - $50,000 GTD",649
WPN,"HiThxBye",31580908,15.0,2024-05-06 16:45,679,1.5,H,No Limit,Normal,-15.0,216,Multi-Entry,USD,,33338,8,,"BIG10 - $12,500 GTD",273
WPN,"HiThxBye",31573120,50.0,2024-05-05 22:48,1477,5.0,H,No Limit,Normal,138.01,86,Multi-Entry,USD,,42231,8,188.01,"Special BIG10 - $100,000 GTD",748
WPN,"HiThxBye",31572648,100.0,2024-05-05 22:36,1966,9.0,H,No Limit,Normal,1471.69,15,Multi-Entry,USD,,45113,8,1571.69,"Sunday WarmUp - $300,000 GTD",1256
WPN,"HiThxBye",31507801,80.0,2024-05-05 21:29,941,8.0,H,No Limit,Normal,-80.0,705,Multi-Entry,USD,,29987,8,,"OSS #17 - $100,000 GTD",476
WPN,"HiThxBye",31507360,30.0,2024-05-05 20:03,2809,3.0,H,No Limit,Normal,165.15,80,Multi-Entry,USD,1,43126,8,228.15,"OSS #12L - $150,000 GTD Kick Off",1821
WPN,"HiThxBye",31580802,15.0,2024-05-05 17:27,1022,1.5,H,No Limit,Normal,-15.0,522,Multi-Entry,USD,,35869,8,,"BIG10 - $20,000 GTD",477
WPN,"HiThxBye",31564622,50.0,2024-05-03 00:02,322,5.0,H,No Limit,Normal,-50.0,270,Multi-Entry,USD,,29845,8,,"The Loncar Daily Double B - $25,000 GTD",182
WPN,"HiThxBye",31564497,50.0,2024-05-02 23:21,326,5.0,H,No Limit,Normal,-105.0,173,Multi-Entry,USD,1,29209,8,,"The Loncar Daily Double A - $25,000 GTD",193
WPN,"HiThxBye",31564308,20.0,2024-05-02 22:01,246,2.0,H,No Limit,Normal,-42.0,214,Multi-Entry,USD,1,27095,8,,"$5,000 GTD 1RE",60
WPN,"HiThxBye",31564046,40.0,2024-05-02 20:43,250,4.0,H,No Limit,Normal,26.36,38,Multi-Entry,USD,,25987,8,66.36,"Mega Stack - $12,500 GTD",133
WPN,"HiThxBye",31563576,15.0,2024-05-02 17:32,286,1.5,H,No Limit,Normal,-31.5,96,Multi-Entry,USD,1,21731,8,,"$5,000 GTD",97
WPN,"HiThxBye",31559015,30.0,2024-05-02 00:36,113,3.0,H,No Limit,Normal,-63.0,100,Multi-Entry,USD,1,22885,8,,"Mega Stack - $3,000 GTD",52
WPN,"HiThxBye",31562676,50.0,2024-05-02 00:00,314,5.0,H,No Limit,Normal,-8.49,38,Multi-Entry,USD,1,29759,8,96.51,"The Loncar Daily Double B - $25,000 GTD",159
WPN,"HiThxBye",31562671,50.0,2024-05-01 23:27,279,5.0,H,No Limit,Normal,-50.0,63,Multi-Entry,USD,,29522,8,,"The Loncar Daily Double A - $25,000 GTD",151
WPN,"HiThxBye",31558151,20.0,2024-05-01 21:32,206,2.0,H,No Limit,Normal,-42.0,110,Multi-Entry,USD,1,25327,8,,"$5,000 GTD 1RE",58
WPN,"HiThxBye",31557869,40.0,2024-05-01 20:36,211,4.0,H,No Limit,Normal,-16.9,27,Multi-Entry,USD,1,25574,8,67.1,"Mega Stack - $12,500 GTD",99
WPN,"HiThxBye",31556978,30.0,2024-05-01 19:41,462,3.0,H,No Limit,Normal,23.87,83,Multi-Entry,USD,,34617,8,53.87,"BIG10 - $25,000 GTD",262
WPN,"HiThxBye",31557263,15.0,2024-05-01 16:40,208,1.5,H,No Limit,Normal,-31.5,86,Multi-Entry,USD,1,18632,8,,"$5,000 GTD",87
WPN,"HiThxBye",31552155,15.0,2024-04-30 17:36,233,1.5,H,No Limit,Normal,12.51,29,Multi-Entry,USD,,21960,8,27.51,"$5,000 GTD",94
WPN,"HiThxBye",31551211,15.0,2024-04-30 17:01,565,1.5,H,No Limit,Normal,-15.0,169,Multi-Entry,USD,,34291,8,,"BIG10 - $12,500 GTD",231
WPN,"HiThxBye",31535312,50.0,2024-04-28 22:19,1475,5.0,H,No Limit,Normal,7043.31,4,Multi-Entry,USD,1,40476,8,7148.31,"Special BIG10 - $100,000 GTD",712
WPN,"HiThxBye",31535053,100.0,2024-04-28 22:14,1961,9.0,H,No Limit,Normal,759.51,32,Multi-Entry,USD,1,43757,8,968.51,"Sunday WarmUp - $300,000 GTD",1202
WPN,"HiThxBye",31361376,80.0,2024-04-28 21:33,999,8.0,H,No Limit,Normal,-80.0,390,Multi-Entry,USD,,30212,8,,"VenomSpecial - $100,000 GTD",578
WPN,"HiThxBye",31492990,60.0,2024-04-28 19:54,319,6.0,H,No Limit,Normal,149.93,87,,USD,,19441,8,209.93,"Route 66 - $100,000 GTD [Day2]",
WPN,"HiThxBye",31546207,30.0,2024-04-28 19:38,1515,3.0,H,No Limit,Normal,-96.0,422,Multi-Entry,USD,2,37989,8,,"BIG10 - $60,000 GTD",791
