Type,Description,Amount,Date,Status
,MTT fee conversion withdrawal,-0.000013086794624646 CHP,2025-06-27 11:13:07 GMT-3 | 367958170,Approved
,MTT fee conversion deposit,0.000000702119618407 USDT,2025-06-27 11:13:07 GMT-3 | 367958172,Approved
,NL Hold'em - ?25 Deepstack Turbo,-25 USDT,2025-06-27 10:49:15 GMT-3 | 367940405,Approved
,NL Hold'em - ?25 Classic,-25 USDT,2025-06-27 10:39:27 GMT-3 | 367934711,Approved
,NL Hold'em - ?25 Deepstack,-25 USDT,2025-06-27 10:39:21 GMT-3 | 367934655,Approved
,Rakeback,0.000013086794624646 CHP,2025-06-23 11:00:07 GMT-3 | 364597861,Approved
,Transfer to player: DukeHigh,-1500 USDT,2025-06-22 21:42:40 GMT-3 | 364245037,Approved
,NL Hold'em - ?50 Sunday Main Event,1435.05 USDT,2025-06-22 21:01:21 GMT-3 | 364223539,Approved
,NL Hold'em - ?150 CoinMasters - BITCOIN,378 USDT,2025-06-22 18:30:21 GMT-3 | 364129830,Approved
,NL Hold'em - ?50 Sunday Sprint,0 USDT,2025-06-22 18:08:33 GMT-3 | 364110961,Approved
,NL Hold'em - ?50 Sunday Sprint,-50 USDT,2025-06-22 17:14:39 GMT-3 | 364064627,Approved
,NL Hold'em - ?50 Sunday Main Event,-50 USDT,2025-06-22 15:25:17 GMT-3 | 363974073,Approved
,NL Hold'em - ?150 CoinMasters - BITCOIN,-150 USDT,2025-06-22 14:30:35 GMT-3 | 363936453,Approved
,NL Hold'em - ?100 CoinPoker Kickoff,0 USDT,2025-06-22 14:17:16 GMT-3 | 363926841,Approved
,NL Hold'em - ?100 CoinPoker Kickoff,-100 USDT,2025-06-22 11:34:56 GMT-3 | 363819123,Approved
,NL Hold'em - ?100 CoinPoker Kickoff,0 USDT,2025-06-22 11:34:17 GMT-3 | 363818800,Approved
,Transfer from player: MiCajeroCoin,200 USDT,2025-06-22 10:30:53 GMT-3 | 363788490,Approved
,NL Hold'em - ?100 CoinPoker Kickoff,-100 USDT,2025-06-22 10:16:09 GMT-3 | 363780777,Approved
,NL Hold'em - ?100 CoinPoker Kickoff,100 USDT,2025-06-22 10:16:09 GMT-3 | 363780780,Approved
,NL Hold'em - ?100 CoinPoker Kickoff,-100 USDT,2025-06-22 10:16:03 GMT-3 | 363780716,Approved
,Transfer to player: vinicelso,-1500 USDT,2025-06-20 20:14:02 GMT-3 | 362495798,Approved
